occupants,plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,cooking_range,hot_water_fixtures
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
0.667,0.608,0.02,0.281,0.0513,0,0,0,0,0,0.069
0.667,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
0.667,0.64,0.0449,0.281,0.183,0,0,0,0,0,0.207
1,0.818,0.126,0,0.477,0,0,0,0,0,0.158
1,0.818,0.149,0,0.49,0,0,0,0,0,0.153
0.667,0.732,0.117,0.14,0.334,0,0,0,0,0,0
0.667,0.732,0.129,0.14,0.322,0,0,0,0,0,0.138
0.667,0.732,0.136,0.14,0.313,0.719,0.8,0,0,0,0.0345
0.667,0.732,0.153,0.14,0.311,0.556,0,0,0,0,0.276
0.667,0.732,0.162,0.14,0.315,0.661,0,0,0,0,0.276
0.667,0.758,0.181,0.14,0.343,0,0,0,0,0,0.103
0.667,0.797,0.224,0.14,0.418,0,0,0,0,0,0.361
0.667,0.836,0.273,0.14,0.548,0,0,0,0,0,0.121
0.667,0.849,0.366,0.14,0.669,0,0,0,0,0,0.201
0.667,0.836,0.51,0.14,0.677,0,0,0,0,0,0.138
0.667,0.81,0.629,0.14,0.565,0.252,0.383,0,0,0,0
0.667,0.758,0.596,0.14,0.43,0.354,1,0,0,0.883,0
1,0.779,0.536,0,0.536,0,0.233,0,0,1,0.155
1,0.614,0.0879,0.281,0.116,0,0,0,0,0.183,0.0977
1,0.608,0.0424,0.281,0.0743,0,0,0,0,0,0
1,0.608,0.026,0.281,0.0578,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
1,0.68,0.0551,0.14,0.253,0,0,0,0,0,0.272
1,0.719,0.074,0.14,0.316,0,0,0,0,0.883,0.172
0.667,0.647,0.0527,0.281,0.192,0,0,0,0,0.4,0
0.667,0.647,0.0604,0.281,0.196,0,0,0,0,0,0.203
0.667,0.732,0.117,0.14,0.334,0,0,0,0,0,0.131
0.667,0.732,0.129,0.14,0.322,0,0,0,0,0,0.127
0.333,0.647,0.0759,0.281,0.181,0.519,0.533,0,0,0,0
0.667,0.732,0.153,0.14,0.311,0.622,0,0,0,0,0.103
0.667,0.732,0.162,0.14,0.315,0.575,0,0,0,0,0.31
0.667,0.758,0.181,0.14,0.343,0,0,0,0,0,0
0.333,0.679,0.12,0.281,0.234,0,0,0,0,0,0.241
0.667,0.836,0.273,0.14,0.548,0,0,0,0,0.133,0.103
0.333,0.705,0.191,0.281,0.359,0,0,0,0,1,0.103
0.333,0.699,0.263,0.281,0.363,0,0,0,0,0.15,0
0.667,0.81,0.629,0.14,0.565,0,0,0,0,0,0
0.667,0.758,0.596,0.14,0.43,0,0,0,0,0,0
0.667,0.634,0.189,0.281,0.212,0,0,0,0,0,0.117
0.667,0.614,0.0879,0.281,0.116,0,0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
0.667,0.562,0.0159,0.421,0.0495,0,0,0,0,0,0
0.667,0.608,0.0183,0.281,0.0495,0,0,0,0,0,0.069
0.667,0.608,0.0166,0.281,0.0495,0,0,0,0,0,0.172
