plug_loads_other,plug_loads_tv,ceiling_fan,lighting_interior,hot_water_dishwasher,dishwasher,hot_water_clothes_washer,clothes_washer,cooking_range,occupants,hot_water_fixtures
0.608,0.0424,0.281,0.0743,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.621,0.0355,0.281,0.151,0,0,0,0,0,1,0.631
0.562,0.0159,0.421,0.0495,0,0,0,0,0.25,0.667,0.28
0.732,0.0895,0.14,0.334,0,0,0,0,0.517,0.667,0.133
0.732,0.105,0.14,0.343,0,0,0,0,0,0.667,0.237
0.732,0.117,0.14,0.334,0,0,0,0,0.533,0.667,0.399
0.732,0.129,0.14,0.322,0,0,0,0,1,0.667,0.303
0.732,0.136,0.14,0.313,0,0,0,0,0.0167,0.667,0.222
0.647,0.0845,0.281,0.18,0,0,0,0,0,0.333,0.0443
0.647,0.0888,0.281,0.182,0,0,0,0,0,0.333,0.177
0.66,0.0982,0.281,0.196,0,0,0,0,0,0.333,0.355
0.679,0.12,0.281,0.234,0,0,0,0,0,0.333,0.222
0.836,0.273,0.14,0.548,0,0,0,0,0.517,0.667,0.0886
0.849,0.366,0.14,0.669,0,0,0,0,0,0.667,0
0.836,0.51,0.14,0.677,0,0,0,0,0,0.667,0
0.81,0.629,0.14,0.565,0,0,0,0,0,0.667,0
0.758,0.596,0.14,0.43,0,0,0,0,0,0.667,0
0.634,0.189,0.281,0.212,0,0,0,0,0,0.667,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0.229
0.608,0.026,0.281,0.0833,0,0,0,0,0.25,1,0.394
0.74,0.0747,0,0.355,0,0,0,0,0.533,1,0.258
0.798,0.103,0,0.449,0,0,0,0,0.5,1,0.261
0.732,0.0895,0.14,0.334,0,0,0,0,0,0.667,0.197
0.647,0.0604,0.281,0.196,0,0,0,0,0,0.667,0.295
0.647,0.0664,0.281,0.192,0,0,0,0,0,0.667,0.415
0.647,0.0724,0.281,0.186,0,0,0,0,0,0.667,0.222
0.647,0.0759,0.281,0.181,0,0,0.083,0.0333,0,0.667,0.156
0.647,0.0845,0.281,0.18,0,0,0.57,0.45,0,0.667,0.0886
0.647,0.0888,0.281,0.182,0,0,0.798,0,0.283,0.667,0.133
0.758,0.181,0.14,0.343,0,0,0.459,0,0.233,0.667,0.133
0.679,0.12,0.281,0.234,0.527,0.533,0.427,0,0,0.333,0
0.836,0.273,0.14,0.548,0.373,1,0.625,0,0,0.667,0.0443
0.849,0.366,0.14,0.669,0,0.0833,0,0,0,0.667,0.153
0.836,0.51,0.14,0.677,0.614,0.783,0,0,0,0.667,0
0.686,0.322,0.281,0.307,0,0.833,0,0,0,0.667,0.106
0.758,0.596,0.14,0.43,0,0,0,0,0,1,0.0612
0.706,0.363,0.14,0.374,0,0,0,0,0,1,0
0.614,0.0879,0.281,0.116,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0.0772
0.647,0.0527,0.281,0.192,0.615,0.783,0.263,0.233,0,0.667,0.411
0.732,0.105,0.14,0.343,0.0895,0.833,0.239,0,0.767,0.667,0.308
0.732,0.117,0.14,0.334,0,0,0,0,0,0.667,0.0443
0.732,0.129,0.14,0.322,0,0,0,0,0,0.667,0.133
0.647,0.0759,0.281,0.181,0,0,0,0,0,0.333,0
0.647,0.0845,0.281,0.18,0,0,0,0,0,0.333,0.0443
0.647,0.0888,0.281,0.182,0,0,0,0,0,0.333,0.355
0.66,0.0982,0.281,0.196,0,0,0,0,0,0.333,0.0886
0.679,0.12,0.281,0.234,0,0,0.311,0.483,0,0.333,0.39
0.836,0.273,0.14,0.548,0,0,0,0,0,0.667,0.136
0.849,0.366,0.14,0.669,0,0,0,0,0,0.667,0.133
0.836,0.51,0.14,0.677,0.548,0.783,0,0,0.0333,0.667,0
0.81,0.629,0.14,0.565,0.0716,0.833,0,0,0.217,0.667,0.0443
0.66,0.306,0.281,0.24,0,0,0,0,0,0.667,0.0859
0.634,0.189,0.281,0.212,0,0,0,0,0,0.667,0
0.614,0.0879,0.281,0.116,0,0,0,0,0,1,0.0443
0.608,0.0424,0.281,0.0743,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.562,0.0159,0.421,0.0495,0,0,0,0,0,1,0
0.608,0.02,0.281,0.0513,0,0,0,0,0,1,0
0.608,0.026,0.281,0.0833,0,0,0,0,0,1,0.521
0.68,0.0551,0.14,0.253,0,0,0,0,0,1,0.208
0.719,0.074,0.14,0.316,0,0,0,0,0,0.667,0.172
0.647,0.0527,0.281,0.192,0,0,0,0,0,0.333,0.227
0.647,0.0604,0.281,0.196,0,0,0,0,0,0.333,0.281
