Option Name	Left Distance [ft]	Right Distance [ft]	Back Distance [ft]	Front Distance [ft]	Left Height [ft]	Right Height [ft]	Back Height [ft]	Front Height [ft]
None								
Left/Right at 5ft	5	5						
Left/Right at 10ft	10	10						
Left/Right at 15ft	15	15						
Left/Right at 20ft	20	20						
Left/Right at 25ft	25	25						
"Left/Right at 25ft, Front/Back at 80ft, 12ft Height"	25	25	80	80				
Left at 5ft	5							
Left at 10ft	10							
Left at 15ft	15							
Left at 20ft	20							
Left at 25ft	25							
Right at 5ft		5						
Right at 10ft		10						
Right at 15ft		15						
Right at 20ft		20						
Right at 25ft		25						
								
"Left Distance: The distance between the unit and the neighboring building to the left (not including eaves). If not provided, assumes no neighboring building."								
"Right Distance: The distance between the unit and the neighboring building to the right (not including eaves). If not provided, assumes no neighboring building."								
"Back Distance: The distance between the unit and the neighboring building to the back (not including eaves). If not provided, assumes no neighboring building."								
"Front Distance: The distance between the unit and the neighboring building to the front (not including eaves). If not provided, assumes no neighboring building."								
"Left Height: The height of the neighboring building to the left. If not provided, uses the same height as the unit."								
"Right Height: The height of the neighboring building to the right. If not provided, uses the same height as the unit."								
"Back Height: The height of the neighboring building to the back. If not provided, uses the same height as the unit."								
"Front Height: The height of the neighboring building to the front. If not provided, uses the same height as the unit."								
