Option Name	Type	Assembly R-Value [F-ft2-hr/Btu]
"Wood Frame, Uninsulated"	WoodFrame	3.7
"Wood Frame, R-11"	WoodFrame	14.4
"Wood Frame, R-13"	WoodFrame	16.2
"Wood Frame, R-15"	WoodFrame	17.8
"Wood Frame, R-19"	WoodFrame	21
"Wood Frame, R-21"	WoodFrame	22.5
"Wood Frame, R-25"	WoodFrame	25.4
"Wood Frame, R-30"	WoodFrame	28.7
"Wood Frame, R-35"	WoodFrame	31.8
"Wood Frame, R-38"	WoodFrame	33.5
"Wood Frame, IECC U-0.064"	WoodFrame	15.63
"Wood Frame, IECC U-0.047"	WoodFrame	21.28
"Wood Frame, IECC U-0.033"	WoodFrame	30.3
"Wood Frame, IECC U-0.028"	WoodFrame	35.71
"HERS DSE Tests: Wood Frame, R-11"	WoodFrame	13.85
"ASHRAE 140 Tests: Wood Frame, Uninsulated"	WoodFrame	2.16
"ASHRAE 140 Tests: Wood Frame, R-11"	WoodFrame	12.07
		
# Type: The type of floor.		
# Assembly R-Value: Assembly R-value for the floor excluding any carpet.		
