doe2code,U-value,Eff-R-value
rfps00co,0.115,8.7
rfps00lc,0.114,8.8
rfps00rc,0.113,8.8
rfps00tg,0.110,9.1
rfps00wo,0.106,9.4
rfps03co,0.098,10.2
rfps03lc,0.097,10.3
rfps03rc,0.097,10.3
rfps03tg,0.094,10.6
rfps03wo,0.091,11.0
rfps07co,0.076,13.2
rfps07lc,0.075,13.3
rfps07rc,0.075,13.4
rfps07tg,0.073,13.7
rfps07wo,0.071,14.1
rfps11co,0.053,18.9
rfps11lc,0.053,18.9
rfps11rc,0.053,18.9
rfps11tg,0.052,19.2
rfps11wo,0.051,19.6
rfps13co,0.049,20.4
rfps13lc,0.049,20.4
rfps13rc,0.049,20.4
rfps13tg,0.048,20.8
rfps13wo,0.047,21.3
rfps15co,0.046,21.7
rfps15lc,0.046,21.7
rfps15rc,0.046,21.7
rfps15tg,0.045,22.2
rfps15wo,0.045,22.2
rfps19lc,0.039,25.6
rfps19rc,0.039,25.6
rfps19tg,0.039,25.6
rfps19wo,0.038,26.3
rfps21lc,0.038,26.3
rfps21rc,0.037,27.0
rfps21tg,0.037,27.0
rfps21wo,0.036,27.8
rfwf00co,0.273,3.7
rfwf00lc,0.266,3.8
rfwf00rc,0.262,3.8
rfwf00tg,0.246,4.1
rfwf00wo,0.227,4.4
rfwf03co,0.218,4.6
rfwf03lc,0.213,4.7
rfwf03rc,0.210,4.8
rfwf03tg,0.198,5.1
rfwf03wo,0.184,5.4
rfwf07co,0.145,6.9
rfwf07lc,0.143,7.0
rfwf07rc,0.140,7.1
rfwf07tg,0.134,7.5
rfwf07wo,0.126,7.9
rfwf11co,0.072,13.9
rfwf11lc,0.072,13.9
rfwf11rc,0.071,14.1
rfwf11tg,0.070,14.3
rfwf11wo,0.068,14.7
rfwf13co,0.065,15.4
rfwf13lc,0.065,15.4
rfwf13rc,0.065,15.4
rfwf13tg,0.064,15.6
rfwf13wo,0.062,16.1
rfwf15co,0.060,16.7
rfwf15lc,0.060,16.7
rfwf15rc,0.059,16.9
rfwf15tg,0.058,17.2
rfwf15wo,0.057,17.5
rfwf19lc,0.048,20.8
rfwf19rc,0.048,20.8
rfwf19tg,0.048,20.8
rfwf19wo,0.047,21.3
rfwf21lc,0.046,21.7
rfwf21rc,0.045,22.2
rfwf21tg,0.045,22.2
rfwf21wo,0.044,22.7
rfwf25lc,0.038,26.5
rfwf25rc,0.039,25.4
rfwf25tg,0.039,25.6
rfwf25wo,0.045,22.4
rfwf27lc,0.037,27.0
rfwf27rc,0.037,27.0
rfwf27tg,0.036,27.8
rfwf27wo,0.036,27.8
rfwf19co,0.047,21.3
rfwf21co,0.044,22.7
rfwf25co,0.038,26.3
rfwf27co,0.035,28.6
rfwf30co,0.032,31.3
rfwf30wo,0.031,32.3
rfwf30rc,0.032,31.3
rfwf30lc,0.032,31.3
rfwf30tg,0.032,31.3
rfps19co,0.038,26.3
rfps21co,0.036,27.8
